Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
70,Entry long,2000-04-18 15:00,S1 Trend,2038.5,1,2038.5,1100,1.08,1250,1.23,-187.5,-0.18,12025,12.03
71,Exit long,2000-04-18 21:00,EOD,2069,3,6115.5,4575,1.50,4687.5,1.53,-562.5,-0.18,16600,16.60
71,Entry long,2000-04-18 15:00,S1 Trend,2038.5,3,6115.5,4575,1.50,4687.5,1.53,-562.5,-0.18,16600,16.60
72,Exit long,2000-04-19 18:30,S1 Trail,2062,6,12378,-300,-0.05,4500,0.73,-1575,-0.25,16300,16.30
72,Entry long,2000-04-19 15:00,S1 Trend,2063,6,12378,-300,-0.05,4500,0.73,-1575,-0.25,16300,16.30
73,Exit long,2000-04-19 21:00,EOD,2058,3,6195.75,-1087.5,-0.35,187.5,0.06,-1800,-0.58,15212.5,15.21
73,Entry long,2000-04-19 19:30,S2 VWAP,2065.25,3,6195.75,-1087.5,-0.35,187.5,0.06,-1800,-0.58,15212.5,15.21
74,Exit long,2000-04-25 15:30,S1 Climax,2077,1,2078.5,-75,-0.07,75,0.07,-325,-0.31,15137.5,15.14
74,Entry long,2000-04-25 15:00,S1 Trend,2078.5,1,2078.5,-75,-0.07,75,0.07,-325,-0.31,15137.5,15.14
75,Exit long,2000-04-25 16:00,S1 Climax,2082,1,2078.5,175,0.17,262.5,0.25,-325,-0.31,15312.5,15.31
75,Entry long,2000-04-25 15:00,S1 Trend,2078.5,1,2078.5,175,0.17,262.5,0.25,-325,-0.31,15312.5,15.31
76,Exit long,2000-04-25 16:30,S1 Climax,2083.5,1,2078.5,250,0.24,425,0.41,-325,-0.31,15562.5,15.56
76,Entry long,2000-04-25 15:00,S1 Trend,2078.5,1,2078.5,250,0.24,425,0.41,-325,-0.31,15562.5,15.56
77,Exit long,2000-04-25 17:00,S1 Climax,2086,1,2078.5,375,0.36,425,0.41,-325,-0.31,15937.5,15.94
77,Entry long,2000-04-25 15:00,S1 Trend,2078.5,1,2078.5,375,0.36,425,0.41,-325,-0.31,15937.5,15.94
78,Exit long,2000-04-25 17:30,S1 Climax,2085.75,1,2078.5,362.5,0.35,562.5,0.54,-325,-0.31,16300,16.30
78,Entry long,2000-04-25 15:00,S1 Trend,2078.5,1,2078.5,362.5,0.35,562.5,0.54,-325,-0.31,16300,16.30
79,Exit long,2000-04-25 18:30,S1 Climax,2089,1,2078.5,525,0.51,562.5,0.54,-325,-0.31,16825,16.83
79,Entry long,2000-04-25 15:00,S1 Trend,2078.5,1,2078.5,525,0.51,562.5,0.54,-325,-0.31,16825,16.83
80,Exit long,2000-04-25 19:30,S1 Climax,2099,1,2091.25,387.5,0.37,400,0.38,-12.5,-0.01,17212.5,17.21
80,Entry long,2000-04-25 19:00,S1 Trend,2091.25,1,2091.25,387.5,0.37,400,0.38,-12.5,-0.01,17212.5,17.21
81,Exit long,2000-04-25 20:00,S1 Climax,2096.75,1,2091.25,275,0.26,412.5,0.39,-12.5,-0.01,17487.5,17.49
81,Entry long,2000-04-25 19:00,S1 Trend,2091.25,1,2091.25,275,0.26,412.5,0.39,-12.5,-0.01,17487.5,17.49
82,Exit long,2000-04-25 20:30,S1 Climax,2098,1,2091.25,337.5,0.32,562.5,0.54,-12.5,-0.01,17825,17.83
82,Entry long,2000-04-25 19:00,S1 Trend,2091.25,1,2091.25,337.5,0.32,562.5,0.54,-12.5,-0.01,17825,17.83
83,Exit long,2000-04-25 21:00,EOD,2105.5,2,4182.5,1425,0.68,1450,0.69,-25,-0.01,19250,19.25
83,Entry long,2000-04-25 19:00,S1 Trend,2091.25,2,4182.5,1425,0.68,1450,0.69,-25,-0.01,19250,19.25
84,Exit long,2000-04-26 16:30,S1 Trail,2100.25,7,14773.5,-3587.5,-0.49,175,0.02,-3587.5,-0.49,15662.5,15.66
84,Entry long,2000-04-26 16:00,S1 Trend,2110.5,7,14773.5,-3587.5,-0.49,175,0.02,-3587.5,-0.49,15662.5,15.66
85,Exit long,2000-04-26 20:30,S2 FairVal,2088.75,5,10490,-2312.5,-0.44,1250,0.24,-2312.5,-0.44,13350,13.35
85,Entry long,2000-04-26 18:00,S2 VWAP,2098,5,10490,-2312.5,-0.44,1250,0.24,-2312.5,-0.44,13350,13.35
86,Exit long,2000-04-27 21:00,EOD,2092,3,6282,-300,-0.10,712.5,0.23,-1387.5,-0.44,13050,13.05
86,Entry long,2000-04-27 19:30,S1 Trend,2094,3,6282,-300,-0.10,712.5,0.23,-1387.5,-0.44,13050,13.05
87,Exit long,2000-05-01 16:30,S1 Climax,2098.5,2,4175,1100,0.53,1250,0.60,-150,-0.07,14150,14.15
87,Entry long,2000-05-01 15:30,S1 Trend,2087.5,2,4175,1100,0.53,1250,0.60,-150,-0.07,14150,14.15
88,Exit long,2000-05-01 17:00,S1 Climax,2101.25,1,2087.5,687.5,0.66,737.5,0.71,-75,-0.07,14837.5,14.84
88,Entry long,2000-05-01 15:30,S1 Trend,2087.5,1,2087.5,687.5,0.66,737.5,0.71,-75,-0.07,14837.5,14.84
89,Exit long,2000-05-01 18:00,S1 Trail,2091.5,4,8350,800,0.19,3050,0.73,-300,-0.07,15637.5,15.64
89,Entry long,2000-05-01 15:30,S1 Trend,2087.5,4,8350,800,0.19,3050,0.73,-300,-0.07,15637.5,15.64
90,Exit long,2000-05-01 20:30,S1 Trail,2095.5,5,10517.5,-2000,-0.38,1812.5,0.34,-2000,-0.38,13637.5,13.64
90,Entry long,2000-05-01 19:30,S1 Trend,2103.5,5,10517.5,-2000,-0.38,1812.5,0.34,-2000,-0.38,13637.5,13.64
91,Exit long,2000-05-02 19:00,S1 Trail,2081.75,5,10460,-2562.5,-0.49,500,0.10,-2562.5,-0.49,11075,11.08
91,Entry long,2000-05-02 18:00,S1 Trend,2092,5,10460,-2562.5,-0.49,500,0.10,-2562.5,-0.49,11075,11.08
92,Exit short,2000-05-03 18:00,S3 Scalp,2036.5,5,10253.75,3562.5,0.69,3562.5,0.69,-62.5,-0.01,14637.5,14.64
92,Entry short,2000-05-03 16:00,S3 Hedge,2050.75,5,10253.75,3562.5,0.69,3562.5,0.69,-62.5,-0.01,14637.5,14.64
93,Exit short,2000-05-03 20:30,S3 Scalp,2041.75,3,6096,-1462.5,-0.48,1425,0.47,-1462.5,-0.48,13175,13.18
93,Entry short,2000-05-03 20:00,S3 Hedge,2032,3,6096,-1462.5,-0.48,1425,0.47,-1462.5,-0.48,13175,13.18
94,Exit long,2000-05-05 21:00,EOD,2058.25,3,6162.75,600,0.19,1462.5,0.47,-600,-0.19,13775,13.78
94,Entry long,2000-05-05 15:30,S1 Trend,2054.25,3,6162.75,600,0.19,1462.5,0.47,-600,-0.19,13775,13.78
95,Exit long,2000-05-08 18:00,S1 Trail,2047.25,7,14393.75,-3150,-0.44,437.5,0.06,-3150,-0.44,10625,10.63
95,Entry long,2000-05-08 16:00,S1 Trend,2056.25,7,14393.75,-3150,-0.44,437.5,0.06,-3150,-0.44,10625,10.63
96,Exit short,2000-05-10 19:00,S3 Scalp,2011.5,4,8015,-1550,-0.39,550,0.14,-1550,-0.39,9075,9.07
96,Entry short,2000-05-10 18:30,S3 Hedge,2003.75,4,8015,-1550,-0.39,550,0.14,-1550,-0.39,9075,9.07
97,Exit long,2000-05-11 21:00,EOD,2033.5,4,8122,600,0.15,1300,0.32,-1400,-0.34,9675,9.68
97,Entry long,2000-05-11 16:00,S1 Trend,2030.5,4,8122,600,0.15,1300,0.32,-1400,-0.34,9675,9.68
98,Exit long,2000-05-12 15:30,S1 Climax,2048.75,1,2048,37.5,0.04,250,0.24,-50,-0.05,9712.5,9.71
98,Entry long,2000-05-12 15:00,S1 Trend,2048,1,2048,37.5,0.04,250,0.24,-50,-0.05,9712.5,9.71
